Name,Author,User Rating,Reviews,Price,Year,Genre
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,4.4,4642,13,2013,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,999.0,798,5,2009,Non Fiction
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,$89,2012,Non Fiction
