Name,Author,User Rating,Reviews,Price,Year,Genre
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction
Wonder,R. J. Palacio,4.8,21625,9,2017,Fiction
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction
